"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Austria","AUT","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","248779680000","254321202000","258484619000","267249151000","273158460000","283340365000","285271262000","292888854000","296189818000","304523538000","310095325000","321806819000","332025320000","338033126000","324735411000","330418323000","335229425000","335259942000","335575167000","338815180000","340879500000","352550521000","355024161000","362825321000","369114688000","350723978000","365870755000","369191140000","","",
"Azerbaijan","AZE","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6790703780.61599","5448130928.17264","4800628174.94768","4859684043.08055","5141867172.73914","5673846358.03125","6242304759.17487","6665555801.00228","7288101326.124","7933982650.69053","8708774742.3176","9288965686.59974","11094200000","14556279582.6294","17521872267.283","20451550888.9306","23740988813.2736","25401383012.3823","24933463778.1057","25903433921.6444","","","","","","","","","","","","",
"Burundi","BDI","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1042220374033.8","1095830341284.41","1079660224986.64","1101518198004.09","1092683634179.89","1138492849538.97","1117985055737.03","1163743390276.07","1189005734472.24","1264760017427.84","1311856784708.72","1377941579159.6","1420578286664.06","1499594390922.97","1556385540531.29","1633822272914.58","1720370547408.74","1786987531002.06","1722343471368.69","1710850242449.24","1721402662045.11","1752256804305.39","1785672288538.14","1797294840388.94","1847285520428.82","1884442971313.44","1930708191927.97","",
"Belgium","BEL","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","306908470000","309739506000","321245818000","328287734000","337495258000","347053235000","348525078000","354987561000","357972707000","366808753000","373171923000","381409128000","395763587000","393351762000","391032679000","396039827000","392827691000","404307901000","407888658000","413886139000","422598800000","428828912000","433855233000","438673401000","451575846000","429990336000","455145297000","455108577000","","",
"Benin","BEN","GNI (constant LCU)","NY.GNP.MKTP.KN","973034672565.707","1003694811330.97","969273546927.926","1015208582262.4","1082863434164.72","1140302954384.55","1184019901018.76","1195530519586.91","1237393589331.16","1268645302276.62","1295288396400.2","1273274838462.88","1361380265994.18","","1473461359649.98","1392430590044.58","","1477321142987.93","1496787063531.94","1595790607992.6","1698356317054.9","1866830145211.95","1904222654052.77","1807802839526.34","1919335237490.67","2081375155075.33","2129543883789.36","2100329283029.5","2177891310659.44","2094783414880.13","2294961193954.23","2401825136436.04","2423126872585.52","2612571014589.02","2655246055108.8","2819541993254.54","2942717162382.3","3131160836578.9","3280071565397.85","3462467956422.48","3664603161244.3","3858310043131.35","4026420098098.9","4163274746802.96","4352204674739.21","4441464876405.23","4609472981760.67","4877782308911.4","5140328667003.89","5247988920804.01","5347270904207.61","5528225368795.99","5768165220523.22","6185570837846.15","6585126591773.31","6693994273136.43","6935184841442.94","7333861961752.84","7814454749814.83","8341622964610.47","8638256519319.62","9228420778820.66","9809868406387.72","10432827556790.3","",
"Burkina Faso","BFA","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","790026533167.968","798707372374.367","869284287340.593","896311066011.739","914620533056.669","919385683500","931247651690.136","951489248559.685","957832819930.218","1034096659396.07","1053335600786.67","1147243547089.56","1140298517487.03","1207617812895.49","1255304591658.04","1269578424189.4","1318552115017.07","1444192879415.02","1448450283983.96","1427263857184.61","1548764275167.13","1673679427132.95","1667831773436.56","1762038026328.67","1800961354393.2","1794161741031.22","1955812450548.38","1959065641101.73","2022130423161.03","2046298304304.99","2170054837861.26","2425208472996.1","2569605934190.6","2757066512721.67","2967034341261.65","3016253931812.39","3208142305163.04","3329778396006.89","3582640814753.16","3754269354695.02","4071726869372.71","4357364201405.41","4536096482668","4795003999379.55","4897008069507.15","5216979904685.97","5497080313525.04","5941494849656.71","6279005294996.09","6441228515498.08","6676628000000","7075520532088.42","7569612130231.45","8119449920029.56","8471469465895.98","8723260549139.42","9215417466599.66","","","",
"Bangladesh","BGD","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21730751000000","22890167000000","24695329000000","26666679000000","27597562000000","29831095000000","31553920000000","33385677000000","",
"Bulgaria","BGR","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72404840492.0152","75619902580.5824","65171334862.0864","68306686840.2188","62826700285.7183","65097340267.6409","69086222880.5664","74317773344.5959","77922261658.7923","82688060099.8408","87851661963.667","91579852026.0187","93347591652.7271","101468212012.519","99421631219.352","102012765588.099","103076198576.695","105664723515.256","104232151997.477","106307100457.831","107687098747.814","110789259225.522","114809700685.403","116342403951.882","121298540637.922","116713620000","125331140121.431","128449880680.268","131629153586.861","",
"Bahrain","BHR","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5860800341.47373","5953093189.97022","6081361494.34997","6502649480.18569","6963042059.20878","7526254897.05182","8037238469.74914","8752714275.35454","9072617269.65144","8723051572.84315","9186797000","8875914121.66518","10320759926.3409","10807599885.7546","11148094590.5947","11410645879.6428","11860370561.2388","12424900170.706","12684414296.9184","12903985157.4222","12027792340.9547","12636712900.5628","13594153562.2335","13748102541.8672","",
"Bahamas, The","BHS","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8682924058.71334","8454505127.71375","8092361160.11935","7982537002.65248","7910418184.15334","8156661497.06643","9725951719.22652","10793602632.7407","9059792583.11282","9425710789.22868","10238899742.2855","10651280321.7961","10860929689.5979","11174607035.7919","11083453915.8468","11210108709.2345","11548879266.1292","11813013476.1976","11971058776.1723","11887603322.5491","11301607408.7111","11387621577.5852","11462631950.959","11785343659.3451","11420536636.3291","11497340457.1846","11566505077.9769","11386685019.335","11737649406.0165","11780711266.9443","11843621478.723","9266786612.50825","10604944304.2678","11809266415.2664","12294367233.9806","",
