"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Australia","AUS","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","26630.4298642424","26628.4460555185","26433.997393409","27549.4063926941","29338.4973582878","30346.5050930804","30347.4379881555","31842.1052631579","32590.5570821884","34276.2782353421","36108.8990165507","36023.3438973487","36508.9170524399","37792.3019431988","38819.3543685783","38403.0806881163","38561.1772251122","39320.1803833145","38701.2815155314","39841.6012126223","40688.537979853","41435.3164120976","41997.0117714761","40541.6659737322","41735.1358599319","43034.4295197612","43461.5924861175","43477.8331411077","45803.6830508093","47546.3435661399","48248.0998677537","47002.3899510508","46746.0988801471","48102.6501677818","49304.5731794301","50640.1541537456","52226.5113183614","54106.0086890126","56128.1357106866","57783.8478133201","59971.6682111675","60665.9994362559","62617.8430496517","63938.0262512501","66812.5507394324","68581.8852542053","70748.5895776268","72679.8287389698","74918.4004535889","76324.2893476122","75866.6016090415","79559.493758825","82155.8438187931","81574.7352498769","81708.4961862243","80896.7670676787","79865.4634983302","82318.0138666171","83412.5497561256","84877.3936714624","84874.3401755872","89440.4964187454","91827.2607412533","92165.639844453","",
"Austria","AUT","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31299.8211688117","31953.8458078429","32440.1718063449","33503.3496561085","34177.6009080713","35366.4146310472","35471.3838453784","36239.8431469012","36470.1873058453","37264.4156865068","37688.5962262949","38918.9491961255","40024.8134919626","40621.6774003136","38921.5916727664","39507.6362447635","39948.0083935887","39769.9050924254","39573.3692790522","39644.4028308673","39441.3249842439","40352.9722086269","40354.8164344547","41041.1695193077","41567.3438499446","39332.6597781462","40852.9531207552","40831.3673826299","","",
"Azerbaijan","AZE","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","906.055369138068","717.184896850891","624.687297077715","626.005931093721","655.996832550523","717.028479468122","781.974226823447","828.163382576136","898.523193377553","970.87997977111","1057.64743473089","1118.27673347375","1322.02077015199","1715.62187536515","2041.86688115822","2333.74613608082","2653.44182708278","2805.43976213621","2718.1119473374","2786.57872446739","","","","","","","","","","","","",
"Burundi","BDI","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171699.038331828","177115.114409577","170369.862341483","170245.00316437","164700.560517832","166833.356907365","158733.580969127","159184.536965775","156710.014258333","160797.464871527","160729.850118823","162003.337217378","158765.588922948","159932.101223339","160155.285444286","162229.940470286","164796.853307957","165465.102407322","155902.330770059","152218.310525064","149599.22366041","147751.994849118","145705.698198576","142449.846413131","142477.207010586","141463.047023338","141036.213429171","",
"Belgium","BEL","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30276.6294054412","30496.2662345814","31552.7048018194","32175.5833181744","33002.2912223722","33854.7235702963","33881.563825454","34355.4579912386","34499.6259203694","35198.5347664079","35612.7075739098","36159.5228194879","37245.8837535409","36727.6147194769","36218.4904857531","36348.6486178898","35587.8144425609","36401.4023854652","36551.1050900823","36924.2603548184","37483.7194599065","37844.2274941309","38140.5896076345","38389.0196895893","39305.129437078","37265.3690169105","39283.4141838628","38964.0748753661","","",
"Benin","BEN","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","386541.168768947","392187.320655907","372130.688480882","382677.643650818","400466.802057808","413462.442342589","420713.054364081","416126.616069182","421705.934187481","423132.543979938","422598.46926181","406178.461896173","424430.869981847","","438186.789831059","404141.104387545","","407739.105627545","402545.531776425","417907.268977102","432674.577257582","462280.3925536","458120.696370965","422484.7240454","435628.910241999","458653.515035952","455476.48848432","435889.879731828","438442.078097606","409005.018274384","434530.023494221","440950.086477313","431326.83509644","444866.644880404","435535.707683844","452809.503936395","460385.252986268","475617.079803246","483110.226027003","494439.232380804","507448.975256699","518200.294930231","524585.87941554","526126.363952671","533417.641068875","527105.266229159","530236.358513966","544762.027756786","557007.921685347","551872.486985174","545780.008847946","547694.853354043","554756.251386559","577613.850195656","597019.420099332","589224.736891779","592860.190917516","609135.878043688","631045.447552655","655439.895292277","660913.91161963","687999.245741831","712952.337907292","739338.276471471","",
"Burkina Faso","BFA","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","153318.870060017","152485.22124555","163204.561050197","165412.429015772","165897.182886867","163874.485856738","163147.830209875","163845.515534536","162017.024217352","171637.035112272","171341.810199555","182663.623517296","177375.283763029","183222.689191096","185588.792692332","182728.367447632","184664.155606568","196751.242427828","191819.035800337","183635.723937118","193597.107372389","203391.729987561","197210.627584032","202826.038563589","201874.904863227","195882.957386002","208184.040689234","203448.924358452","204840.884572012","202127.532009725","208925.861100476","227592.123999558","235005.81012392","245276.125389183","256332.855052027","252923.759785287","260930.625801742","262582.244458487","273849.191788956","278083.047143029","292254.588146595","303148.255450414","306155.675815033","314259.71773665","311711.489277457","322503.665792557","329919.017289319","345993.218588573","354838.099249138","353341.687694336","355565.577012515","365946.378503591","380489.457676796","397266.636032801","404135.524491993","406135.595287209","418973.205551749","","","",
"Bangladesh","BGD","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","135131.459026312","141135.155026526","151020.427981971","161701.443224128","165952.434888823","177927.34644363","186285.321530172","194706.147229855","",
"Bulgaria","BGR","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8613.40273543087","9042.38621975184","7840.56805864514","8272.79365605683","7651.87886885556","7967.68296525959","8625.92058931736","9482.74168982824","10021.7343474805","10715.2468879623","11470.4247467763","12048.3603423354","12371.5586568457","13542.5273164301","13355.147083449","13793.7123941008","14027.1635366161","14462.9541973892","14346.9376599651","14715.9486221825","15002.4009152162","15543.21351256","16225.3477429103","16561.1090663126","17388.5746139987","16832.0403114213","18222.7134863037","19335.1823093782","20418.3965594961","",
"Bahrain","BHR","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9192.22992724657","9001.88894563299","8558.63179009865","8505.56557955636","8452.95069592115","8467.67395164816","8368.42735057552","8421.78041398692","8221.70381193175","7402.35958710909","7477.79849789547","7427.41888978024","8536.86290604257","8624.06439701098","8480.46314330909","8326.98145373336","8330.51483307803","8277.10861166357","8438.88646590151","8696.83772629878","8169.92233478155","8400.03117631878","8915.99394909894","8717.55751805558","",
